"","mirna.names"
"551","hsa.miR.3611..1"
"552","hsa.miR.3612.1"
"553","hsa.miR.3612..1"
"554","hsa.miR.3613.1"
"555","hsa.miR.3613..1"
"556","hsa.miR.3614.3p.1"
"557","hsa.miR.3614.5p.1"
"558","hsa.miR.3617.1"
"559","hsa.miR.3617..1"
"560","hsa.miR.3619.3p.1"
"561","hsa.miR.3619.5p.1"
"562","hsa.miR.362.3p.1"
"563","hsa.miR.362.5p.1"
"564","hsa.miR.3622.3p.1"
"565","hsa.miR.3622.5p.1"
"566","hsa.miR.363.1"
"567","hsa.miR.363..1"
"568","hsa.miR.365.1..1"
"569","hsa.miR.365.2..2"
"570","hsa.miR.365.2..3"
"571","hsa.miR.3657.1"
"572","hsa.miR.3657..1"
"573","hsa.miR.3659.1"
"574","hsa.miR.3659..1"
"575","hsa.miR.3664.3p.1"
"576","hsa.miR.3664.5p.1"
"577","hsa.miR.3667.3p.1"
"578","hsa.miR.3667.5p.1"
"579","hsa.miR.367.1"
"580","hsa.miR.367..1"
"581","hsa.miR.3677.3p.1"
"582","hsa.miR.3677.5p.1"
"583","hsa.miR.3679.3p.1"
"584","hsa.miR.3679.5p.1"
"585","hsa.miR.3680.1"
"586","hsa.miR.3680..1"
"587","hsa.miR.3681.1"
"588","hsa.miR.3681..1"
"589","hsa.miR.3682.3p.1"
"590","hsa.miR.3682.5p.1"
"591","hsa.miR.3688.1"
"592","hsa.miR.3688..1"
"593","hsa.miR.369.1"
"594","hsa.miR.369..1"
"595","hsa.miR.3691.1"
"596","hsa.miR.3691..1"
"597","hsa.miR.370.1"
"598","hsa.miR.370..1"
"599","hsa.miR.371.1"
"600","hsa.miR.371..1"
"601","hsa.miR.372.1"
"602","hsa.miR.372..1"
"603","hsa.miR.373.1"
"604","hsa.miR.373..1"
"605","hsa.miR.374a.1"
"606","hsa.miR.374a..1"
"607","hsa.miR.374b.1"
"608","hsa.miR.374b..1"
"609","hsa.miR.375.1"
"610","hsa.miR.375..1"
"611","hsa.miR.376a.1.5p.1"
"612","hsa.miR.376a.2.5p.1"
"613","hsa.miR.376a.3p.2..1"
"614","hsa.miR.376b.1"
"615","hsa.miR.376b..1"
"616","hsa.miR.376c.1"
"617","hsa.miR.376c..1"
"618","hsa.miR.377.1"
"619","hsa.miR.377..1"
"620","hsa.miR.378.1"
"621","hsa.miR.378..1"
"622","hsa.miR.379.1"
"623","hsa.miR.379..1"
"624","hsa.miR.380.3p.1"
"625","hsa.miR.380.5p.1"
"626","hsa.miR.381.1"
"627","hsa.miR.381..1"
"628","hsa.miR.382.3p.1"
"629","hsa.miR.382.5p.1"
"630","hsa.miR.383.1"
"631","hsa.miR.383..1"
"632","hsa.miR.384.3p.1"
"633","hsa.miR.384.5p.1"
"634","hsa.miR.3909.1"
"635","hsa.miR.3909..1"
"636","hsa.miR.3910.1"
"637","hsa.miR.3910..1"
"638","hsa.miR.3912.1"
"639","hsa.miR.3912..1"
"640","hsa.miR.3919.3p.1"
"641","hsa.miR.3919.5p.1"
"642","hsa.miR.3922.1"
"643","hsa.miR.3922..1"
"644","hsa.miR.3928.1"
"645","hsa.miR.3928..1"
"646","hsa.miR.3934.1"
"647","hsa.miR.3934..1"
"648","hsa.miR.3938.1"
"649","hsa.miR.3938..1"
"650","hsa.miR.3939.3p.1"
"651","hsa.miR.3939.5p.1"
"652","hsa.miR.3940.1"
"653","hsa.miR.3940..1"
"654","hsa.miR.3942.3p.1"
"655","hsa.miR.3942.5p.1"
"656","hsa.miR.3944.3p.1"
"657","hsa.miR.3944.5p.1"
"658","hsa.miR.409.3p.1"
"659","hsa.miR.409.5p.1"
"660","hsa.miR.410.1"
"661","hsa.miR.410..1"
"662","hsa.miR.411.1"
"663","hsa.miR.411..1"
"664","hsa.miR.412.3p.1"
"665","hsa.miR.412.5p.1"
"666","hsa.miR.421.1"
"667","hsa.miR.421..1"
"668","hsa.miR.423.3p.1"
"669","hsa.miR.423.5p.1"
"670","hsa.miR.424.1"
"671","hsa.miR.424..1"
"672","hsa.miR.425.1"
"673","hsa.miR.425..1"
"674","hsa.miR.429.1"
"675","hsa.miR.429..1"
"676","hsa.miR.431.3p.1"
"677","hsa.miR.431.5p.1"
"678","hsa.miR.432.1"
"679","hsa.miR.432..1"
"680","hsa.miR.4326.1"
"681","hsa.miR.4326..1"
"682","hsa.miR.433.1"
"683","hsa.miR.433..1"
"684","hsa.miR.448.1"
"685","hsa.miR.448..1"
"686","hsa.miR.449a.1"
"687","hsa.miR.449a..1"
"688","hsa.miR.449b.1"
"689","hsa.miR.449b..1"
"690","hsa.miR.449c.3p.1"
"691","hsa.miR.449c.5p.1"
"692","hsa.miR.450a.1..1"
"693","hsa.miR.450a.2..2"
"694","hsa.miR.450a.2..3"
"695","hsa.miR.450b.1"
"696","hsa.miR.450b..1"
"697","hsa.miR.451.DICER1.1"
"698","hsa.miR.452.1"
"699","hsa.miR.452..1"
"700","hsa.miR.454.1"
"701","hsa.miR.454..1"
"702","hsa.miR.455.3p.1"
"703","hsa.miR.455.5p.1"
"704","hsa.miR.466.1"
"705","hsa.miR.466..1"
"706","hsa.miR.483.3p.1"
"707","hsa.miR.483.5p.1"
"708","hsa.miR.484.RNASEN.1"
"709","hsa.miR.484..RNASEN.1"
"710","hsa.miR.485.3p.1"
"711","hsa.miR.485.5p.1"
"712","hsa.miR.486.1"
"713","hsa.miR.486..1"
"714","hsa.miR.487a.3p.1"
"715","hsa.miR.487a.5p.1"
"716","hsa.miR.487b.1"
"717","hsa.miR.487b..1"
"718","hsa.miR.488.1"
"719","hsa.miR.488..1"
"720","hsa.miR.489.1"
"721","hsa.miR.489..1"
"722","hsa.miR.490.3p.1"
"723","hsa.miR.490.5p.1"
"724","hsa.miR.491.1"
"725","hsa.miR.491..1"
"726","hsa.miR.493.1"
"727","hsa.miR.493..1"
"728","hsa.miR.494.1"
"729","hsa.miR.494..1"
"730","hsa.miR.495.1"
"731","hsa.miR.495..1"
"732","hsa.miR.496.1"
"733","hsa.miR.496..1"
"734","hsa.miR.497.1"
"735","hsa.miR.497..1"
"736","hsa.miR.498.3p.1"
"737","hsa.miR.498.5p.1"
"738","hsa.miR.499.1"
"739","hsa.miR.499..1"
"740","hsa.miR.500a.1"
"741","hsa.miR.500a..2..1"
"742","hsa.miR.500b..1"
"743","hsa.miR.501.3p.1"
"744","hsa.miR.501.5p.1"
"745","hsa.miR.502.1"
"746","hsa.miR.502..1"
"747","hsa.miR.503.1"
"748","hsa.miR.503..1"
"749","hsa.miR.504.1"
"750","hsa.miR.504..1"
"751","hsa.miR.505.1"
"752","hsa.miR.505..1"
"753","hsa.miR.506.1"
"754","hsa.miR.506..1"
"755","hsa.miR.508.1"
"756","hsa.miR.508..1"
"757","hsa.miR.509.3.5p.1"
"758","hsa.miR.509.3p.3..1"
"759","hsa.miR.509.5p.2..1"
"760","hsa.miR.510.3p.1"
"761","hsa.miR.510.5p.1"
"762","hsa.miR.511.3p.2..1"
"763","hsa.miR.511.5p.2..1"
"764","hsa.miR.512.3p.2..1"
"765","hsa.miR.512.5p.2..1"
"766","hsa.miR.513a.3p.2..1"
"767","hsa.miR.513a.5p.2..1"
"768","hsa.miR.513b.1"
"769","hsa.miR.513b..1"
"770","hsa.miR.513c.3p.1"
"771","hsa.miR.513c.5p.1"
"772","hsa.miR.514a.3..1"
"773","hsa.miR.514a..3..1"
"774","hsa.miR.514b.3p.1"
"775","hsa.miR.514b.5p.1"
"776","hsa.miR.515.3p.2..1"
"777","hsa.miR.515.5p.2..1"
"778","hsa.miR.516a.2..1"
"779","hsa.miR.516a..2..1"
"780","hsa.miR.516b.1.1"
"781","hsa.miR.516b.2.1"
"782","hsa.miR.516b..2..1"
"783","hsa.miR.517a.2..1"
"784","hsa.miR.517a..2..1"
"785","hsa.miR.517b.1"
"786","hsa.miR.517b..1"
"787","hsa.miR.518a.3p.2..1"
"788","hsa.miR.518a.5p.2..1"
"789","hsa.miR.518b.1"
"790","hsa.miR.518b..1"
"791","hsa.miR.518c.1"
"792","hsa.miR.518c..1"
"793","hsa.miR.518d.1"
"794","hsa.miR.518d..1"
